0.84163,0.66963,1.4854,1.013,0.47774,-1.5402
0.8365,0.66736,1.4975,1.0133,0.483,-1.5349
0.83209,0.66374,1.4969,1.0147,0.48333,-1.5438
0.84262,0.66383,1.4934,1.0219,0.48005,-1.5294
0.82873,0.65723,1.5044,1.0168,0.48502,-1.5411
0.83492,0.65772,1.5081,1.0334,0.48447,-1.5345
0.83712,0.64739,1.5019,1.0383,0.48413,-1.5325
0.82383,0.65602,1.4913,1.0234,0.48759,-1.5377
0.83064,0.65167,1.5143,1.0226,0.48768,-1.5266
0.83045,0.64808,1.516,1.0281,0.48888,-1.5477
0.81818,0.64087,1.4991,1.0369,0.49001,-1.5351
0.83169,0.64519,1.5028,1.0289,0.48656,-1.5488
0.82218,0.63882,1.5123,1.0315,0.49299,-1.5461
0.82505,0.64175,1.5189,1.0326,0.49317,-1.537
0.81854,0.63484,1.5271,1.0443,0.48844,-1.5431
0.82314,0.63417,1.5281,1.0421,0.49334,-1.5409
0.82403,0.63665,1.5278,1.0412,0.49694,-1.5391
0.821,0.63622,1.5246,1.0397,0.50042,-1.5452
0.82136,0.62713,1.5301,1.0482,0.49656,-1.5506
0.82364,0.62312,1.5313,1.037,0.49757,-1.5639
0.8217,0.62536,1.529,1.0519,0.50108,-1.55
0.8236,0.6207,1.5181,1.0468,0.49889,-1.548
0.8127,0.62526,1.5229,1.0498,0.49791,-1.5481
0.81259,0.62046,1.5291,1.0498,0.50154,-1.5612
0.80691,0.62241,1.5322,1.0592,0.50487,-1.564
0.81151,0.61481,1.5395,1.0542,0.50387,-1.5574
0.81133,0.61302,1.5632,1.059,0.50593,-1.552
0.80977,0.60944,1.5488,1.0565,0.50041,-1.557
0.8093,0.60923,1.5469,1.0662,0.50832,-1.5472
0.80404,0.60779,1.5504,1.059,0.51014,-1.5587
0.80987,0.60499,1.5557,1.0738,0.50729,-1.5459
0.81262,0.59926,1.5613,1.0642,0.5127,-1.5541
0.80319,0.60283,1.5429,1.0726,0.51098,-1.5602
0.80545,0.60401,1.5523,1.0696,0.50843,-1.5559
0.80363,0.60085,1.554,1.0686,0.51064,-1.5688
0.79984,0.59553,1.5484,1.0732,0.50806,-1.5684
0.80708,0.58955,1.5631,1.0765,0.51668,-1.5662
0.80762,0.58915,1.5573,1.077,0.51415,-1.573
0.80238,0.58495,1.5629,1.0853,0.51456,-1.5619
0.8057,0.58563,1.563,1.0765,0.51277,-1.5693
0.79964,0.58419,1.5562,1.0893,0.51881,-1.5568
0.80429,0.57948,1.5718,1.085,0.51624,-1.5476
0.80136,0.57813,-1.5658,1.0877,0.51769,1.5759
0.79898,0.5742,-1.5753,1.0897,0.52371,1.5626
0.79396,0.5759,-1.5722,1.0933,0.52143,1.5668
0.79929,0.57857,-1.5721,1.0909,0.52088,1.5716
0.79392,0.57156,-1.5696,1.0971,0.52489,1.5775
0.80236,0.56343,-1.5479,1.0886,0.51908,1.5629
0.79282,0.56749,-1.5623,1.0916,0.52316,1.571
0.7918,0.56087,-1.5584,1.0981,0.52518,1.5689
0.79337,0.5621,-1.5563,1.1011,0.52607,1.5545
0.79101,0.56102,-1.5588,1.1001,0.527,1.5665
0.79034,0.56088,-1.5525,1.1018,0.52894,1.5536
0.78628,0.55392,-1.5653,1.1024,0.53265,1.5625
0.79644,0.55714,-1.5403,1.1033,0.5335,1.5611
0.79719,0.55241,-1.5361,1.1092,0.52969,1.5582
0.79166,0.55137,-1.5487,1.1073,0.5327,1.5561
0.77557,0.54959,-1.5524,1.1028,0.53,1.5607
0.77981,0.5419,-1.5491,1.108,0.53838,1.5448
0.78248,0.54514,-1.5456,1.1159,0.53654,1.5521
0.78178,0.54378,-1.5367,1.1173,0.53993,1.5354
0.79028,0.53877,-1.5481,1.1252,0.53404,1.5533
0.79593,0.5379,-1.5401,1.12,0.54239,1.5593
0.77784,0.5353,-1.5373,1.1195,0.5468,1.5533
0.7824,0.53225,-1.523,1.1259,0.54041,1.5539
0.77661,0.53488,-1.5175,1.1319,0.54422,1.5487
0.77449,0.52946,-1.5317,1.1315,0.54011,1.5569
0.78895,0.52722,-1.5317,1.1226,0.53923,1.5572
0.78004,0.52521,-1.5273,1.1267,0.5409,1.5226
0.77632,0.52336,-1.5204,1.1248,0.54092,1.5398
0.77629,0.51983,-1.5266,1.1297,0.54659,1.5318
0.77186,0.52171,-1.5155,1.1337,0.55327,1.548
0.778,0.5248,-1.5289,1.1367,0.5542,1.5338
0.77051,0.52193,-1.5217,1.1358,0.5511,1.5378
0.77118,0.51376,-1.5125,1.1323,0.55067,1.5344
0.77704,0.51341,-1.5228,1.1385,0.5516,1.5474
0.7763,0.51094,-1.5263,1.1436,0.55384,1.5536
0.77571,0.51122,-1.5149,1.1394,0.5535,1.5497
0.76119,0.50535,-1.5088,1.145,0.54986,1.5388
0.77093,0.50265,-1.5067,1.1388,0.56032,1.5366
0.76633,0.50076,-1.5078,1.157,0.55757,1.5354
0.76186,0.50158,-1.5113,1.141,0.56095,1.5505
0.75966,0.49407,-1.5034,1.155,0.55858,1.5294
0.76481,0.49466,-1.49,1.1613,0.56062,1.5205
0.76806,0.49217,-1.4998,1.1581,0.55845,1.5259
0.76323,0.49829,-1.5026,1.1531,0.56117,1.5254
0.76727,0.49086,-1.4917,1.1584,0.56254,1.5325
0.7651,0.49231,-1.5009,1.1623,0.56918,1.5166
0.7593,0.48361,-1.5014,1.1603,0.56397,1.5113
0.76048,0.48521,-1.4828,1.1551,0.56367,1.5215
0.7527,0.4835,-1.496,1.1612,0.56485,1.5247
